dates,wqi
4/29/1986,62
5/19/1986,64
6/18/1986,67
7/24/1986,68
8/15/1986,68
9/15/1986,52
10/6/1986,58
11/10/1986,69
12/17/1986,70
1/22/1987,80
2/16/1987,88
3/11/1987,83
4/8/1987,64
5/6/1987,70
6/12/1987,52
7/6/1987,72
8/3/1987,63
9/19/1987,
10/19/1987,67
11/19/1987,61
12/11/1987,74
1/20/1988,76
2/11/1988,
3/11/1988,87
4/8/1988,78
5/10/1988,83
6/2/1988,62
7/1/1988,74
8/12/1988,60
9/1/1988,56
10/11/1988,51
11/2/1988,62
12/2/1988,63
1/1/1989,
2/1/1989,66
3/15/1989,94
4/18/1989,60
5/16/1989,
6/16/1989,67
7/26/1989,54
8/18/1989,64
9/6/1989,57
10/4/1989,58
11/14/1989,64
12/14/1989,66
1/3/1990,73
2/8/1990,64
3/6/1990,59
4/3/1990,76
5/4/1990,60
6/19/1990,52
7/4/1990,54
8/1/1990,57
9/3/1990,54
10/2/1990,52
11/5/1990,57
12/3/1990,57
1/4/1991,76
2/1/1991,70
3/6/1991,77
4/9/1991,78
5/10/1991,67
6/5/1991,64
7/1/1991,46
8/2/1991,53
9/19/1991,43
10/10/1991,47
11/5/1991,49
12/6/1991,49
1/7/1992,59
2/10/1992,76
3/5/1992,54
4/3/1992,59
5/14/1992,54
6/4/1992,44
7/14/1992,48
8/6/1992,40
9/4/1992,46
10/14/1992,50
11/5/1992,44
12/4/1992,57
1/13/1993,61
2/10/1993,54
3/12/1993,51
4/16/1993,46
5/6/1993,40
6/7/1993,42
7/15/1993,40
8/6/1993,38
9/8/1993,39
10/8/1993,37
11/12/1993,58
12/8/1993,41
1/7/1994,68
2/3/1994,69
3/14/1994,66
4/8/1994,61
5/4/1994,73
6/2/1994,53
7/6/1994,57
8/5/1994,54
9/7/1994,54
10/10/1994,46
11/14/1994,51
12/14/1994,
1/16/1995,52
2/15/1995,64
3/10/1995,58
4/13/1995,57
5/11/1995,47
6/1/1995,47
7/5/1995,52
8/4/1995,46
9/8/1995,42
10/6/1995,51
11/10/1995,38
12/6/1995,39
1/8/1996,51
2/5/1996,56
3/6/1996,41
4/11/1996,52
5/3/1996,46
6/6/1996,40
7/3/1996,59
8/7/1996,41
9/5/1996,49
10/4/1996,51
11/6/1996,53
12/5/1996,38
1/6/1997,43
2/14/1997,53
3/5/1997,47
4/7/1997,46
5/5/1997,56
6/5/1997,46
7/11/1997,47
8/8/1997,47
9/1/1997,40
10/15/1997,33
11/7/1997,48
12/5/1997,49
1/8/1998,46
2/9/1998,51
3/6/1998,48
4/15/1998,43
5/7/1998,37
6/4/1998,52
7/9/1998,38
8/26/1998,37
9/7/1998,57
10/9/1998,37
11/6/1998,38
12/4/1998,39
1/7/1999,34
2/3/1999,44
3/5/1999,51
4/29/1999,71
5/28/1999,40
6/11/1999,36
7/16/1999,49
8/4/1999,62
9/3/1999,31
10/7/1999,39
11/4/1999,37
12/3/1999,42
1/6/2000,44
2/10/2000,48
3/24/2000,54
4/19/2000,42
5/24/2000,40
6/21/2000,32
7/13/2000,41
8/25/2000,
9/25/2000,36
10/26/2000,31
11/17/2000,36
12/1/2000,47
1/9/2001,49
2/14/2001,47
3/22/2001,42
4/17/2001,39
5/17/2001,38
6/22/2001,33
7/20/2001,33
8/13/2001,32
9/14/2001,32
10/11/2001,40
11/12/2001,40
12/10/2001,44
1/7/2002,50
2/5/2002,52
3/7/2002,46
4/12/2002,34
5/10/2002,62
6/24/2002,36
7/25/2002,36
8/21/2002,32
9/9/2002,36
10/11/2002,36
11/1/2002,33
12/2/2002,42
1/2/2003,39
2/10/2003,42
3/7/2003,44
4/7/2003,50
5/22/2003,33
6/25/2003,32
7/25/2003,41
8/11/2003,31
9/19/2003,31
10/27/2003,39
11/19/2003,41
12/18/2003,33
1/28/2004,53
2/19/2004,46
3/19/2004,34
4/22/2004,30
5/13/2004,30
6/7/2004,38
7/14/2004,34
8/13/2004,38
9/3/2004,33
10/27/2004,49
11/19/2004,28
12/9/2004,32
1/27/2005,37
2/24/2005,41
3/16/2005,42
4/22/2005,38
5/23/2005,42
6/29/2005,28
7/18/2005,30
8/25/2005,32
9/15/2005,30
10/27/2005,33
11/7/2005,31
12/3/2005,32
1/6/2006,36
2/20/2006,37
3/1/2006,42
4/19/2006,48
5/19/2006,31
6/5/2006,30
7/14/2006,34
8/4/2006,34
9/18/2006,30
10/18/2006,36
11/16/2006,31
12/15/2006,38
1/17/2007,59
2/6/2007,42
3/21/2007,36
4/18/2007,44
5/10/2007,34
6/15/2007,40
7/6/2007,42
8/17/2007,36
9/5/2007,36
10/12/2007,30
11/15/2007,38
12/13/2007,33
1/25/2008,48
2/27/2008,42
3/13/2008,38
4/18/2008,33
5/19/2008,58
6/5/2008,30
7/4/2008,28
8/4/2008,38
9/1/2008,31
10/9/2008,30
11/3/2008,69
12/1/2008,32
1/5/2009,29
2/4/2009,34
3/12/2009,31
4/29/2009,26
5/21/2009,46
6/4/2009,42
7/3/2009,34
8/3/2009,32
9/3/2009,30
10/9/2009,30
11/11/2009,36
12/7/2009,37
1/4/2010,38
2/5/2010,34
3/10/2010,37
4/29/2010,32
5/12/2010,32
6/3/2010,33
7/2/2010,33
8/23/2010,34
9/16/2010,29
10/22/2010,32
11/4/2010,32
12/15/2010,37
1/3/2011,32
2/11/2011,46
3/4/2011,43
4/7/2011,40
5/6/2011,32
6/24/2011,29
7/14/2011,29
8/8/2011,32
9/16/2011,36
10/17/2011,28
11/23/2011,30
12/7/2011,31
1/4/2012,37
2/6/2012,40
3/2/2012,31
4/12/2012,38
5/28/2012,41
6/7/2012,40
7/20/2012,32
8/6/2012,43
9/24/2012,33
10/10/2012,30
11/12/2012,29
12/3/2012,49
1/11/2013,33
2/15/2013,34
3/8/2013,34
4/11/2013,48
5/9/2013,36
6/13/2013,31
7/22/2013,29
8/21/2013,29
9/27/2013,29
10/23/2013,29
11/21/2013,36
12/16/2013,41
1/16/2014,34
2/24/2014,36
3/24/2014,32
4/10/2014,28
5/30/2014,29
6/12/2014,28
7/24/2014,30
8/21/2014,43
9/25/2014,36
10/24/2014,29
11/26/2014,40
12/18/2014,34
1/26/2015,36
2/26/2015,42
3/25/2015,31
4/27/2015,39
5/28/2015,31
6/19/2015,33
7/24/2015,41
8/21/2015,37
9/18/2015,29
10/15/2015,28
11/19/2015,29
12/14/2015,37
1/20/2016,36
2/25/2016,22
3/17/2016,39
4/21/2016,34
5/20/2016,33
6/17/2016,46
7/20/2016,29
8/17/2016,36
9/28/2016,28
10/20/2016,32
11/21/2016,30
12/14/2016,30
1/18/2017,41
2/17/2017,44
3/20/2017,43
4/21/2017,40
5/22/2017,49
6/19/2017,47
7/28/2017,27
8/21/2017,30
9/21/2017,37
10/25/2017,37
11/20/2017,34
12/13/2017,33
1/19/2018,36
2/26/2018,42
3/21/2018,39
4/19/2018,36
5/16/2018,41
6/20/2018,32
7/26/2018,29
8/22/2018,27
9/10/2018,32
10/11/2018,29
11/12/2018,37
12/10/2018,30
1/18/2019,38
2/18/2019,36
3/13/2019,30
4/18/2019,30
5/9/2019,38
6/10/2019,32
7/4/2019,39
8/9/2019,32
9/19/2019,34
10/10/2019,29
11/25/2019,39
12/5/2019,41
1/11/2020,
2/11/2020,
3/11/2020,44
4/15/2020,34
5/21/2020,43
6/3/2020,29
7/10/2020,40
9/14/2020,30
10/17/2020,38
11/23/2020,38
12/23/2020,
