DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI clf
6.7,7.5,203,21.94722222,0.1,11,27,0
5.7,7.2,189,2,0.2,4953,8391,0
6.3,6.9,179,1.7,0.1,3243,5330,0
5.8,6.9,64,3.8,0.5,5382,8443,0
5.8,7.3,83,1.9,0.4,3428,5500,0
5.5,7.4,81,1.5,0.1,2853,4049,0
6.1,6.7,308,1.4,0.3,3355,5672,0
6.4,6.7,414,1,0.2,6073,9423,0
6.4,7.6,305,2.2,0.1,3478,4990,0
6.3,7.6,77,2.3,0.1,2606,4301,0
7.1,7.1,176,1.2,0.1,4573,7817,0
6.7,6.4,93,1.4,0.1,2147,3433,1
7.4,6.8,121,1.7,0.4,11633,18125,0
6.9,7,620,1.1,0.1,3500,6300,0
6,7.5,72,1.6,0.2,4995,9517,0
7.3,7,247,1.5,0.2,1095,2453,2
7.3,7,188,1,0.1,1286,3048,2
7,6.9,224,1.2,0.3,3896,6742,0
7.3,6.7,144,1.5,0.1,1940,3052,1
5.3,6.8,319,1.8,0.3,6458,10250,0
6.3,6.4,79,1.6,1.4,7592,12842,0
5.4,7.6,39,1.4,0.1,3176,6367,0
2.2,6.5,322,4.7,1.2,11210,14920,0
5.2,7.1,192,2.6,0.3,5073,8925,0
5.6,7.5,282,1.8,0.1,3205,5082,0
5.5,7.4,275,1.5,0.1,4698,8625,0
7.3,6.7,55,1.4,0.1,2638,4003,0
6.5,7.5,415,2,0.1,864,1538,1
7.2,6.3,100,1.5,0.1,7942,13575,0
6.6,7.8,95,4.9,0.2,16,36,1
6.9,7.9,99,5,0.4,15,34,1
6.8,7.7,85,5.2,0.3,11,23,1
6.7,7.8,80,4.9,0.3,12,29,1
5.1,7.3,3937,10.3,1.8,31,83,0
5.6,7.9,468,3.6,1.9,66,164,1
6.4,7.6,541,5.7,0.6,23,45,0
5.5,7.4,6166,7.7,1.1,44,67,0
6.7,7.6,83,4.8,0.2,28,76,1
3.6,7.4,4424,31.3,2.2,276,474,0
7.2,7.7,226,3.1,0.8,107.4593301,130,1
5.9,7.4,268,6.4,0.4,37,68,0
5.4,7.5,2413,7.4,1.5,59,116,0
5.8,7.3,384,5.4,0.6,37,78,1
5.9,7.4,269,5.1,1.2,34,60,1
6,7.3,269,8.5,0.4,32,58,0
6.1,7.3,196,6.1,0.5,30,63,0
5.9,7.4,269,6.4,0.4,19,47,0
6.3,7.8,223,4.6,0.9,15,32,1
6.7,7.3,9293,3.5,1.8,107.4593301,0,1
6.8,7.2,170,3.1,1.4,107.4593301,0,2
6.8,7.3,4175,3.3,1.6,107.4593301,0,0
6.9,7.3,4282,3.3,1.6,107.4593301,0,2
6.9,7.3,5551,3.4,1.7,107.4593301,0,1
6.8,7.9,5390,4.9,0.8,15,28,1
6.6,8.1,161,4.6,0.3,16,32,1
6.7,8,138,5,0.3,14,33,0
6.7,7.8,81,4.9,0.3,14,35,1
5.9,7.7,194,5.5,0.6,22,51,0
6.3,7.6,186,4.6,0.6,13,31,1
6.6,7.6,207,4.7,0.7,12,31,1
6.8,7.7,85,5,0.4,15,34,1
7.1,7.4,176,2.7,0.9,107.4593301,30,2
7,7.4,178,2.7,0.9,107.4593301,40,2
7.2,7.2,180,2.7,1,107.4593301,70,2
6.7,7.5,85,1.4,1,183,420,2
5.8,7.4,77,1.4,0.8,285,691,2
6.6,7.5,75,1.4,0.7,183,448,2
6.7,7.5,82,1.4,1,161,443,2
6.7,6.9,56,0.9,0.2,82,172,3
6.5,6.7,2240,1.2,0.2,136,304,3
6.3,6.9,73,1.6,0,787,2008,2
7,7.4,130,0.7,0.1,301,590,2
6.6,7.7,191,1.6,0.2,362,661,2
6.9,6.9,134,1.1,0.4,249,531,0
7,7.5,80,0.8,0.4,2573,3583,0
6.7,7.4,14526,0.8,0.6,1411,1969,1
7.2,7.4,82,0.7,0.5,840,1311,2
7.5,7.2,67,1.1,0.1,76,590,3
3,6.6,965,1.7,1.2,247,530,2
5.9,7.4,17990,0.7,0.5,1888,2803,0
6.7,7.5,90,1.6,0.9,199,473,2
6.1,7.4,4429,2,1.6,243,550,2
6.7,6.9,87,1.7,0.2,155,350,2
6.9,6.8,85,1.6,0.2,82,206,3
2.1,6.8,101,1.6,0.8,431,694,1
2.5,6.9,83,1.9,0.3,353,656,1
7.2,7.6,75,1.4,1,188,426,2
6.1,7.6,281,1.2,0.7,384,718,2
6.7,7.6,106,0.5,2.5,44,71,2
7.6,7.1,58,1.2,0.1,163,961,3
1.9,7.7,2941,26.9,2.8,10875,37375,0
7.4,7,35,0.1,0,165,409,3
6.4,7.2,63,1.3,0.4,121,535,2
5.4,6.7,65,1.1,0.3,60,144,0
5.6,7.3,90,1.6,0.4,268,705,2
7.1,8,728,1.2,0.4,374,697,2
5.9,6.8,13953,1.5,0.4,70,166,2
7.4,6.9,57,1.1,0.3,70,159,3
7.2,7.2,41,0.7,0.2,441,658,2
6.5,7.4,71,0.6,0.3,4192,7018,0
6.8,7.1,81,0.8,0,389,1268,2
6.8,6.9,68,1.7,0.1,449,660,2
6.6,7,70,1.4,0.1,550,822,2
6.4,7.7,100,0.6,0.9,56,88,2
7.3,6.9,96,1.9,0.2,89,825,2
6.8,6.6,49,0.5,0.4,1719,2950,2
6.9,6.8,59,0.6,0.5,1916,3375,1
7.1,6.8,14410,1.8,0.1,65,468,2
6.7,7.1,66,0.6,0,222,626,0
7.2,7,59,0.6,0,165,433,3
6,7.6,120,1.3,1.1,212,523,2
5.2,6.8,55,0.6,0.7,171,313,0
4.8,6.8,86,0.7,0.8,208,332,2
3.9,6.9,62,0.5,0.7,155,284,2
5,6.9,3185,1.8,0.4,290,667,2
7,7,36,1.1,0.2,276,541,2
6.3,6.9,64,1.2,0.3,381,815,2
6.2,6.9,86,1.3,0.2,372,1007,2
5.7,6.8,2640,1.9,0.5,385,759,2
5.7,6.9,53,3.1,0.4,574,1205,1
6.6,7.1,2007,1.3,0.2,356,785,2
6.6,7,46,1.3,0.3,228,472,2
6.5,6.5,43,0.9,0.4,87,188,3
6.7,6.3,54,0.9,0.1,136,610,3
4.3,7.2,113,1.8,0.4,188,796,2
4.6,6.7,12561,1.5,0.6,72,171,2
7.7,6.9,61,1.6,0,88,554,3
5.8,6.5,61,1,0.4,70,151,3
4.5,6.9,1614,2.1,0.6,131,230,2
6.6,7,14487,0.9,0.3,55,103,0
6.9,7.5,54,0.6,0,319,1633,2
5.5,7.6,569,1.3,0.9,18,141,2
5.4,7.8,310,0.8,2.4,7,107,2
7.1,7.8,516,0.7,0.5,2,1238,2
6.9,8,505,0.9,0.7,2,1563,2
7.3,7.3,109,2.4,3.4,18,65,2
7.5,7.5,83,2.1,2,22,74,2
6.4,7.2,102,1,0,137,1223,2
6.5,7.1,92,1,0,155,1342,2
7.7,7.9,232,1.3,0.8,30790,40500,0
7.5,7.8,519,2.1,0.7,38700,53556,0
7.3,7.2,103,0.7,1.7,4871,13810,0
7.4,7.9,196,0.7,0.6,5323,15213,0
7.4,7.8,244,1.9,1,20880,12473,0
7.5,8,243,1.7,0.9,8780,30319,0
7.2,8,296,1.5,0.7,1468,4314,1
7.5,7.9,194,1,1,2906,8559,0
