DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI
6.7,7.5,203.0,1.5,0.1,11.0,27.0,60.26850289855073
5.7,7.2,189.0,2.0,0.2,4953.0,8391.0,175.36350579710148
6.3,6.9,179.0,1.7,0.1,3243.0,5330.0,126.1358307246377
5.8,6.9,64.0,3.8,0.5,5382.0,8443.0,195.1056588405797
5.8,7.3,83.0,1.9,0.4,3428.0,5500.0,141.3932455072464
5.5,7.4,81.0,1.5,0.1,2853.0,4049.0,127.9717463768116
6.1,6.7,308.0,1.4,0.3,3355.0,5672.0,123.57109130434782
6.4,6.7,414.0,1.0,0.2,6073.0,9423.0,179.49243710144927
6.4,7.6,305.0,2.2,0.1,3478.0,4990.0,147.37916376811597
6.3,7.6,77.0,2.3,0.1,2606.0,4301.0,129.2725107246377
7.1,7.1,176.0,1.2,0.1,4573.0,7817.0,151.2726150724638
6.7,6.4,93.0,1.4,0.1,2147.0,3433.0,88.21802289855074
7.4,6.8,121.0,1.7,0.4,11633.0,18125.0,307.3618142028986
6.9,7.0,620.0,1.1,0.1,3500.0,6300.0,125.66422898550724
6.0,7.5,72.0,1.6,0.2,4995.0,9517.0,176.73762492753625
7.3,7.0,247.0,1.5,0.2,1095.0,2453.0,73.21271449275363
7.3,7.0,188.0,1.0,0.1,1286.0,3048.0,73.11480115942028
7.0,6.9,224.0,1.2,0.3,3896.0,6742.0,133.11592869565217
7.3,6.7,144.0,1.5,0.1,1940.0,3052.0,86.7774011594203
5.3,6.8,319.0,1.8,0.3,6458.0,10250.0,202.28246695652172
6.3,6.4,79.0,1.6,1.4,7592.0,12842.0,214.45630405797107
5.4,7.6,39.0,1.4,0.1,3176.0,6367.0,138.67865333333333
2.2,6.5,322.0,4.7,1.2,11210.0,14920.0,343.80462260869564
5.2,7.1,192.0,2.6,0.3,5073.0,8925.0,184.12521391304347
5.6,7.5,282.0,1.8,0.1,3205.0,5082.0,139.93293942028987
5.5,7.4,275.0,1.5,0.1,4698.0,8625.0,169.79564637681162
7.3,6.7,55.0,1.4,0.1,2638.0,4003.0,101.5076411594203
6.5,7.5,415.0,2.0,0.1,864.0,1538.0,84.88703681159419
7.2,6.3,100.0,1.5,0.1,7942.0,13575.0,215.264068115942
6.6,7.8,95.0,4.9,0.2,16.0,36.0,96.1540431884058
6.9,7.9,99.0,5.0,0.4,15.0,34.0,97.33218898550726
6.8,7.7,85.0,5.2,0.3,11.0,23.0,96.00684260869564
6.7,7.8,80.0,4.9,0.3,12.0,29.0,95.59064956521738
5.1,7.3,3937.0,10.3,1.8,31.0,83.0,143.85316086956522
5.6,7.9,468.0,3.6,1.9,66.0,164.0,92.59439942028988
6.4,7.6,541.0,5.7,0.6,23.0,45.0,101.02435043478262
5.5,7.4,6166.0,7.7,1.1,44.0,67.0,121.34723971014492
6.7,7.6,83.0,4.8,0.2,28.0,76.0,91.58711623188404
3.6,7.4,4424.0,31.3,2.2,276.0,474.0,344.3488585507247
7.2,7.7,226.0,3.1,0.8,4.0,130.0,75.44782144927537
5.9,7.4,268.0,6.4,0.4,37.0,68.0,106.38671855072464
5.4,7.5,2413.0,7.4,1.5,59.0,116.0,120.46908
5.8,7.3,384.0,5.4,0.6,37.0,78.0,96.32939217391306
5.9,7.4,269.0,5.1,1.2,34.0,60.0,94.89874521739132
6.0,7.3,269.0,8.5,0.4,32.0,58.0,122.6463515942029
6.1,7.3,196.0,6.1,0.5,30.0,63.0,100.87223797101448
